"Source","Target","Weight"
"Cre06.g308450","Cre03.g172800",0.18520715600317
"Cre07.g314600","Cre03.g172800",0.185540137029216
"Cre07.g319550","Cre03.g172800",0.209155602604178
"Cre07.g323400","Cre03.g172800",0.204586270493749
"Cre07.g331850","Cre03.g172800",0.158861699228402
"Cre07.g348100","Cre03.g172800",0.153200092505748
"Cre08.g370950","Cre03.g172800",0.169002183330075
"Cre08.g385950","Cre03.g172800",0.155266645604562
"Cre09.g387060","Cre03.g172800",0.153944877987006
"Cre09.g390750","Cre03.g172800",0.11873833830597
"Cre09.g396289","Cre03.g172800",0.138800297111405
"Cre09.g400250","Cre03.g172800",0.155188391179398
"Cre10.g419350","Cre03.g172800",0.212780978497038
"Cre10.g448100","Cre03.g172800",0.200781786179559
"Cre10.g458900","Cre03.g172800",0.163403141394182
"Cre11.g469400","Cre03.g172800",0.190182534864194
"Cre11.g480079","Cre03.g172800",0.198701198996044
"Cre12.g489350","Cre03.g172800",0.220247115950585
"Cre12.g514300","Cre03.g172800",0.178580081037149
"Cre12.g535800","Cre03.g172800",0.236898480228019
"Cre12.g541750","Cre03.g172800",0.176754706409626
"Cre12.g553600","Cre03.g172800",0.181638378856257
"Cre12.g559700","Cre03.g172800",0.105898591374888
"Cre13.g568316","Cre03.g172800",0.129295132911041
"Cre13.g588800","Cre03.g172800",0.141152827407705
"Cre14.g611517","Cre03.g172800",0.199364906738085
"Cre14.g625350","Cre03.g172800",0.198643488675279
"Cre16.g650300","Cre03.g172800",0.105332545845084
"Cre16.g654950","Cre03.g172800",0.194026194358661
"Cre16.g683250","Cre03.g172800",0.172212766214257
"Cre17.g709876","Cre03.g172800",0.207122118691618
"Cre17.g719522","Cre03.g172800",0.12134057325785
"Cre17.g736329","Cre03.g172800",0.175599563990166
"Cre17.g746147","Cre03.g172800",0.21447498889794
"Cre01.g004926","Cre03.g173000",0.165353785964614
"Cre01.g009500","Cre03.g173000",0.200333529942586
"Cre01.g010350","Cre03.g173000",0.251298892497117
"Cre01.g030650","Cre03.g173000",0.236749894446296
"Cre02.g090150","Cre03.g173000",0.221192111123774
"Cre02.g095102","Cre03.g173000",0.189449059951406
"Cre02.g112600","Cre03.g173000",0.2456861826658
"Cre03.g150400","Cre03.g173000",0.241270243262232
"Cre03.g172800","Cre03.g173000",0.169576418725438
"Cre03.g200991","Cre03.g173000",0.242310363219777
"Cre04.g218450","Cre03.g173000",0.229460555148992
