"","SRR393780_FPKM","SRR393781_FPKM","SRR393782_FPKM","SRR393783_FPKM","SRR393784_FPKM","SRR393785_FPKM","SRR393786_FPKM","SRR393787_FPKM"
"Cre14.g618200",2.93317980917125,2.99935244529444,2.39915194892448,2.84918263507806,2.89584546893754,2.63415412051611,2.65496018680481,2.36789660299383
"Cre14.g618250",1.05641011709855,0.806825561971187,0,0.149926571478733,1.00242169401483,1.06225989447013,2.05091259370043,2.66560879526634
"Cre14.g618300",2.45947621034033,2.40314499258826,2.81808975579708,3.31947198110532,2.96869535885014,2.69517872736962,4.01498008744882,3.51663295226463
"Cre14.g618350",2.75418628885723,2.46569242596109,2.5203719576267,2.23262699119206,2.30173980925221,2.22926797194682,1.26602489648147,2.12645421194129
"Cre14.g618400",4.8311070579566,4.46267403612598,5.63238164875491,5.60081387333224,4.69866855554001,4.53797314229215,4.60333555143685,4.79068864267478
"Cre14.g618450",4.3308236823814,4.33503298658685,4.25109037984025,4.37322362210121,4.06602028397446,3.91635243355749,3.67536431274915,3.76678595374724
"Cre14.g618500",0.46114504707575,0.901658177742645,1.27740755383702,0.807032546750343,1.4400485701352,1.32877903095893,1.74394144467989,1.702098972677
"Cre14.g618550",3.02537967763903,3.73239945953864,2.91480176417902,2.62019460103823,2.05810864940117,2.38270044956443,3.22864478717283,3.42774024601659
"Cre14.g618600",0.754805426510968,0.535905638334266,0.542452212308042,0.409608172681753,1.07312099073385,1.39580863911012,0.372438429323809,1.39703076282775
"Cre14.g618641",0,0,0,0,0.131894584370472,0,0,0.000741703691962533
"Cre14.g618650",0.126803078582689,0.0860803147994622,0,0,0,0,0,0
"Cre14.g618700",3.32439875743398,2.9813704569046,3.41618849100179,3.18941501251908,2.62294206105967,2.60209813349389,2.23602720719962,2.27838626632913
"Cre14.g618750",1.30154082409764,2.64931424347669,2.56891983107227,3.06059218359475,2.57676155947626,2.91782889538725,3.08362526484223,3.41794025507409
"Cre14.g618776",0,0,1.20874822234912,0.642704344022802,0.313148314177855,0.763471915681085,0.712967245851404,0.37109712631713
"Cre14.g618800",1.20428472862845,0.943457039647799,0,0.538260026933186,0.188178077794767,0.927423945868265,0.809713242563897,1.07345694367293
"Cre14.g618820",0.218238079172445,0.389457779544244,0.166669175163007,0.610181278904915,0.473507435425881,0.602722912827483,0.297115097006901,0.509553972056809
"Cre14.g618860",1.86232045671767,1.91145766417885,1.69967155600572,1.98110006417115,1.82803033348557,1.85447846015396,1.51852506777746,1.57004026147863
"Cre14.g618900",2.74814775627695,2.62382005074152,2.12525433903147,2.25863047675483,2.51072145006424,2.39705541386386,2.34260878864051,1.93869604994394
"Cre14.g618926",0,0.113309638536543,0.000289632349990428,0.0501100531506835,3.41315274404865e-06,1.85669328924383e-05,0,0
"Cre14.g618950",3.87171553465492,3.99900780605363,4.04053302685127,3.96415831705106,3.77285690551195,3.79906657754807,3.54152722943703,3.3616673110916
"Cre14.g618979",0,1.18463576623231,1.10530931224056,0.71369405545809,0.396859837392261,0.69241202114373,0.686270125795801,1.03465240262264
"Cre14.g619000",2.35670725293538,2.79908937891022,3.00769425749657,2.83136450704834,2.51002006355907,2.44259853441663,1.89900543657666,2.27492954527135
"Cre14.g619050",0.00466244733726251,0.000866052405118543,0.00211452259203113,0.419826862454402,0.00670280511378334,0.501280153315715,0.0188924973880123,0.302417323432189
"Cre14.g619100",6.00038767220112,5.86021047407224,5.63474426727069,5.55014649937809,5.03124520183651,4.9975272668599,4.95581959219241,4.6436080248849
"Cre14.g619133",7.87372708677416,7.74257217973023,7.54594520921733,7.4650030928244,7.68708869068927,7.48859534210969,7.43705291875327,7.25253298223557
"Cre14.g619166",5.81234676007428,5.71558865962373,5.25840962549227,5.40656388034165,5.68718949464692,5.63414889175933,5.2462484546224,5.06018576504656
"Cre14.g619200",0,0,0,0,0,0,0,0.056719884347837
